date,bucket,count
2013-03,61,5
2013-03,62,4
2013-03,63,10
2013-03,64,1
2013-03,65,3
2013-03,66,5
2013-03,67,6
2013-03,68,2
2013-03,69,2
2013-03,70,6
2013-03,71,5
2013-03,72,7
2013-03,73,3
2013-03,74,5
2013-03,75,3
2013-03,76,4
2013-03,77,4
2013-03,78,4
2013-03,79,2
2013-03,80,4
2013-03,81,2
2013-03,82,2
2013-03,83,2
2013-03,85,2
2013-03,86,1
2013-03,87,3
2013-03,88,5
2013-03,89,1
2013-03,90,2
2013-03,91,2
2013-03,92,2
2013-03,93,2
2013-03,94,2
2013-03,96,1
2013-03,97,1
2013-03,98,3
2013-03,99,1
2013-03,100,74
2013-04,0,512
2013-04,1,819
2013-04,2,197
2013-04,3,472
2013-04,4,104
2013-04,5,166
2013-04,6,135
2013-04,7,127
2013-04,8,138
2013-04,9,101
2013-04,10,125
2013-04,11,129
2013-04,12,172
2013-04,13,260
2013-04,14,863
2013-04,15,3037
2013-04,16,5347
2013-04,17,5561
2013-04,18,4715
2013-04,19,3552
2013-04,20,2869
2013-04,21,2483
2013-04,22,2235
2013-04,23,1977
2013-04,24,1657
2013-04,25,1304
2013-04,26,1117
2013-04,27,982
2013-04,28,749
2013-04,29,643
2013-04,30,578
2013-04,31,461
2013-04,32,410
2013-04,33,344
2013-04,34,284
2013-04,35,248
2013-04,36,217
2013-04,37,193
2013-04,38,185
2013-04,39,149
2013-04,40,101
2013-04,41,114
2013-04,42,96
2013-04,43,87
2013-04,44,92
2013-04,45,59
2013-04,46,62
2013-04,47,53
2013-04,48,49
2013-04,49,43
2013-04,50,40
2013-04,51,33
2013-04,52,37
2013-04,53,34
2013-04,54,39
2013-04,55,41
2013-04,56,25
2013-04,57,32
2013-04,58,25
2013-04,59,27
2013-04,60,25
2013-04,61,11
2013-04,62,19
2013-04,63,20
2013-04,64,12
2013-04,65,13
2013-04,66,12
2013-04,67,20
2013-04,68,9
2013-04,69,9
2013-04,70,8
2013-04,71,9
2013-04,72,8
2013-04,73,4
2013-04,74,8
2013-04,75,7
2013-04,76,2
2013-04,77,6
2013-04,78,5
2013-04,79,4
2013-04,80,5
2013-04,81,11
2013-04,82,7
2013-04,83,7
2013-04,84,5
2013-04,85,7
2013-04,86,10
2013-04,87,8
2013-04,88,5
2013-04,89,7
2013-04,90,2
2013-04,91,4
2013-04,92,4
2013-04,93,6
2013-04,94,5
2013-04,95,7
2013-04,96,6
2013-04,97,6
2013-04,98,3
2013-04,99,1
2013-04,100,210
2013-05,0,432
2013-05,1,550
2013-05,2,134
2013-05,3,504
2013-05,4,107
2013-05,5,179
2013-05,6,227
2013-05,7,259
2013-05,8,239
2013-05,9,156
2013-05,10,133
2013-05,11,143
2013-05,12,155
2013-05,13,181
2013-05,14,487
2013-05,15,1864
2013-05,16,4215
2013-05,17,4218
2013-05,18,3130
2013-05,19,2344
2013-05,20,1977
2013-05,21,1545
2013-05,22,1399
2013-05,23,1236
2013-05,24,1055
2013-05,25,934
2013-05,26,799
2013-05,27,690
2013-05,28,572
2013-05,29,463
2013-05,30,440
2013-05,31,351
2013-05,32,313
2013-05,33,289
2013-05,34,236
2013-05,35,182
2013-05,36,178
2013-05,37,154
2013-05,38,128
2013-05,39,111
2013-05,40,90
2013-05,41,74
2013-05,42,70
2013-05,43,79
2013-05,44,63
2013-05,45,61
2013-05,46,48
2013-05,47,53
2013-05,48,48
2013-05,49,27
2013-05,50,26
2013-05,51,26
2013-05,52,22
2013-05,53,41
2013-05,54,28
2013-05,55,25
2013-05,56,23
2013-05,57,15
2013-05,58,17
2013-05,59,16
2013-05,60,13
2013-05,61,21
2013-05,62,12
2013-05,63,9
2013-05,64,14
2013-05,65,12
2013-05,66,19
2013-05,67,6
2013-05,68,12
2013-05,69,15
2013-05,70,12
2013-05,71,18
2013-05,72,8
2013-05,73,9
2013-05,74,9
2013-05,75,13
2013-05,76,3
2013-05,77,9
2013-05,78,9
2013-05,79,15
2013-05,80,19
2013-05,81,10
2013-05,82,7
2013-05,83,7
2013-05,84,3
2013-05,85,8
2013-05,86,17
2013-05,87,2
2013-05,88,5
2013-05,89,3
2013-05,90,4
2013-05,91,3
2013-05,92,6
2013-05,93,10
2013-05,94,8
2013-05,95,4
2013-05,96,2
2013-05,97,5
2013-05,98,4
2013-05,99,1
2013-05,100,173
2013-06,0,243
2013-06,1,468
2013-06,2,124
2013-06,3,496
2013-06,4,135
2013-06,5,140
2013-06,6,180
2013-06,7,183
2013-06,8,139
2013-06,9,105
2013-06,10,105
2013-06,11,121
2013-06,12,108
2013-06,13,134
2013-06,14,350
2013-06,15,1254
2013-06,16,3347
2013-06,17,3378
2013-06,18,2471
2013-06,19,1840
2013-06,20,1422
2013-06,21,1171
2013-06,22,914
2013-06,23,790
2013-06,24,693
2013-06,25,589
2013-06,26,544
2013-06,27,442
2013-06,28,397
2013-06,29,316
2013-06,30,281
2013-06,31,229
2013-06,32,197
2013-06,33,187
2013-06,34,162
2013-06,35,146
2013-06,36,107
2013-06,37,94
2013-06,38,91
2013-06,39,86
2013-06,40,58
2013-06,41,55
2013-06,42,50
2013-06,43,49
2013-06,44,30
2013-06,45,26
2013-06,46,38
2013-06,47,28
2013-06,48,25
2013-06,49,25
2013-06,50,19
2013-06,51,19
2013-06,52,22
2013-06,53,30
2013-06,54,25
2013-06,55,21
2013-06,56,17
2013-06,57,11
2013-06,58,12
2013-06,59,10
2013-06,60,20
2013-06,61,13
2013-06,62,7
2013-06,63,12
2013-06,64,3
2013-06,65,6
2013-06,66,5
2013-06,67,6
2013-06,68,10
2013-06,69,6
2013-06,70,8
2013-06,71,9
2013-06,72,7
2013-06,73,8
2013-06,74,3
2013-06,75,12
2013-06,76,3
2013-06,77,3
2013-06,78,4
2013-06,79,5
2013-06,80,6
2013-06,81,2
2013-06,82,10
2013-06,83,3
2013-06,84,3
2013-06,85,3
2013-06,86,4
2013-06,87,2
2013-06,88,6
2013-06,89,7
2013-06,90,5
2013-06,91,1
2013-06,92,9
2013-06,93,6
2013-06,94,3
2013-06,95,2
2013-06,96,4
2013-06,97,5
2013-06,98,7
2013-06,99,6
2013-06,100,356
2013-07,0,448
2013-07,1,651
2013-07,2,239
2013-07,3,604
2013-07,4,194
2013-07,5,136
2013-07,6,204
2013-07,7,188
2013-07,8,168
2013-07,9,135
2013-07,10,120
2013-07,11,128
2013-07,12,147
2013-07,13,125
2013-07,14,405
2013-07,15,1453
2013-07,16,3857
2013-07,17,4922
2013-07,18,4523
2013-07,19,3791
2013-07,20,3358
2013-07,21,2857
2013-07,22,2405
2013-07,23,2174
2013-07,24,1867
2013-07,25,1610
2013-07,26,1395
2013-07,27,1103
2013-07,28,1006
2013-07,29,897
2013-07,30,797
2013-07,31,710
2013-07,32,634
2013-07,33,572
2013-07,34,465
2013-07,35,426
2013-07,36,371
2013-07,37,338
2013-07,38,298
2013-07,39,247
2013-07,40,223
2013-07,41,171
2013-07,42,163
2013-07,43,149
2013-07,44,115
2013-07,45,125
2013-07,46,100
2013-07,47,101
2013-07,48,81
2013-07,49,70
2013-07,50,79
2013-07,51,61
2013-07,52,58
2013-07,53,44
2013-07,54,55
2013-07,55,33
2013-07,56,48
2013-07,57,28
2013-07,58,40
2013-07,59,29
2013-07,60,48
2013-07,61,25
2013-07,62,30
2013-07,63,32
2013-07,64,26
2013-07,65,32
2013-07,66,21
2013-07,67,15
2013-07,68,15
2013-07,69,12
2013-07,70,16
2013-07,71,7
2013-07,72,18
2013-07,73,25
2013-07,74,15
2013-07,75,9
2013-07,76,7
2013-07,77,7
2013-07,78,13
2013-07,79,16
2013-07,80,10
2013-07,81,12
2013-07,82,8
2013-07,83,10
2013-07,84,12
2013-07,85,9
2013-07,86,11
2013-07,87,11
2013-07,88,9
2013-07,89,5
2013-07,90,5
2013-07,91,3
2013-07,92,11
2013-07,93,7
2013-07,94,4
2013-07,95,11
2013-07,96,5
2013-07,97,4
2013-07,98,6
2013-07,99,6
2013-07,100,470
2013-08,0,296
2013-08,1,610
2013-08,2,167
2013-08,3,517
2013-08,4,179
2013-08,5,114
2013-08,6,175
2013-08,7,250
2013-08,8,182
2013-08,9,176
2013-08,10,136
2013-08,11,123
2013-08,12,123
2013-08,13,146
2013-08,14,229
2013-08,15,865
2013-08,16,2855
2013-08,17,4051
2013-08,18,3491
2013-08,19,2630
2013-08,20,1987
2013-08,21,1666
2013-08,22,1410
2013-08,23,1299
2013-08,24,1071
2013-08,25,936
2013-08,26,797
2013-08,27,729
2013-08,28,599
2013-08,29,535
2013-08,30,470
2013-08,31,407
2013-08,32,351
2013-08,33,298
2013-08,34,263
2013-08,35,213
2013-08,36,217
2013-08,37,190
2013-08,38,143
2013-08,39,124
2013-08,40,92
2013-08,41,108
2013-08,42,91
2013-08,43,90
2013-08,44,61
2013-08,45,50
2013-08,46,47
2013-08,47,41
2013-08,48,41
2013-08,49,45
2013-08,50,38
2013-08,51,32
2013-08,52,31
2013-08,53,34
2013-08,54,34
2013-08,55,21
2013-08,56,33
2013-08,57,23
2013-08,58,17
2013-08,59,37
2013-08,60,32
2013-08,61,28
2013-08,62,44
2013-08,63,33
2013-08,64,27
2013-08,65,22
2013-08,66,21
2013-08,67,15
2013-08,68,9
2013-08,69,10
2013-08,70,7
2013-08,71,10
2013-08,72,13
2013-08,73,4
2013-08,74,6
2013-08,75,10
2013-08,76,10
2013-08,77,14
2013-08,78,10
2013-08,79,3
2013-08,80,3
2013-08,81,6
2013-08,82,11
2013-08,83,10
2013-08,84,15
2013-08,85,8
2013-08,86,7
2013-08,87,3
2013-08,88,5
2013-08,89,7
2013-08,90,7
2013-08,91,2
2013-08,92,7
2013-08,93,7
2013-08,94,2
2013-08,95,2
2013-08,96,1
2013-08,97,1
2013-08,98,5
2013-08,99,2
2013-08,100,143
2013-09,0,264
2013-09,1,594
2013-09,2,72
2013-09,3,328
2013-09,4,143
2013-09,5,99
2013-09,6,119
2013-09,7,200
2013-09,8,181
2013-09,9,152
2013-09,10,112
2013-09,11,108
2013-09,12,116
2013-09,13,122
2013-09,14,224
2013-09,15,926
2013-09,16,2893
2013-09,17,3895
2013-09,18,2854
2013-09,19,1910
2013-09,20,1393
2013-09,21,1150
2013-09,22,919
2013-09,23,791
2013-09,24,674
2013-09,25,599
2013-09,26,460
2013-09,27,444
2013-09,28,391
2013-09,29,345
2013-09,30,275
2013-09,31,211
2013-09,32,206
2013-09,33,176
2013-09,34,154
2013-09,35,128
2013-09,36,110
2013-09,37,86
2013-09,38,82
2013-09,39,77
2013-09,40,106
2013-09,41,61
2013-09,42,59
2013-09,43,47
2013-09,44,46
2013-09,45,40
2013-09,46,38
2013-09,47,24
2013-09,48,29
2013-09,49,22
2013-09,50,36
2013-09,51,20
2013-09,52,18
2013-09,53,34
2013-09,54,29
2013-09,55,19
2013-09,56,22
2013-09,57,22
2013-09,58,16
2013-09,59,10
2013-09,60,19
2013-09,61,11
2013-09,62,10
2013-09,63,14
2013-09,64,11
2013-09,65,9
2013-09,66,13
2013-09,67,11
2013-09,68,5
2013-09,69,6
2013-09,70,7
2013-09,71,5
2013-09,72,2
2013-09,73,6
2013-09,74,3
2013-09,75,7
2013-09,76,2
2013-09,77,3
2013-09,78,5
2013-09,79,6
2013-09,80,3
